RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720738192568	 	3.11.3
REQUEST		Get Pikachu	1720738193915	1720738193956	OK	 
USER	Pokemon API Test	END	1720738193958
USER	Pokemon API Test	START	1720738193958
REQUEST		Get Pikachu	1720738193936	1720738193974	OK	 
USER	Pokemon API Test	END	1720738193987
REQUEST		Get Pikachu	1720738193920	1720738193966	OK	 
USER	Pokemon API Test	END	1720738194010
USER	Pokemon API Test	START	1720738194011
REQUEST		Get Pikachu	1720738193909	1720738193983	OK	 
USER	Pokemon API Test	END	1720738194021
USER	Pokemon API Test	START	1720738194022
USER	Pokemon API Test	START	1720738194024
REQUEST		Get Pikachu	1720738193926	1720738194005	OK	 
REQUEST		Get Pikachu	1720738193928	1720738193998	OK	 
REQUEST		Get Pikachu	1720738193872	1720738193974	OK	 
USER	Pokemon API Test	START	1720738194097
REQUEST		Get Pikachu	1720738193923	1720738193995	OK	 
USER	Pokemon API Test	END	1720738194099
USER	Pokemon API Test	END	1720738194099
USER	Pokemon API Test	START	1720738194099
USER	Pokemon API Test	END	1720738194099
USER	Pokemon API Test	END	1720738194099
USER	Pokemon API Test	START	1720738194099
USER	Pokemon API Test	START	1720738194100
USER	Pokemon API Test	START	1720738194102
REQUEST		Get Pikachu	1720738193959	1720738194094	OK	 
USER	Pokemon API Test	END	1720738194104
USER	Pokemon API Test	START	1720738194105
USER	Pokemon API Test	START	1720738194108
REQUEST		Get Pikachu	1720738194103	1720738194140	OK	 
USER	Pokemon API Test	END	1720738194143
USER	Pokemon API Test	START	1720738194143
REQUEST		Get Pikachu	1720738194011	1720738194134	OK	 
USER	Pokemon API Test	END	1720738194156
REQUEST		Get Pikachu	1720738194109	1720738194163	OK	 
USER	Pokemon API Test	END	1720738194169
REQUEST		Get Pikachu	1720738194101	1720738194170	OK	 
REQUEST		Get Pikachu	1720738194025	1720738194144	OK	 
REQUEST		Get Pikachu	1720738194109	1720738194166	OK	 
REQUEST		Get Pikachu	1720738194102	1720738194202	OK	 
REQUEST		Get Pikachu	1720738194101	1720738194197	OK	 
USER	Pokemon API Test	START	1720738194213
USER	Pokemon API Test	END	1720738194213
USER	Pokemon API Test	END	1720738194213
USER	Pokemon API Test	END	1720738194213
USER	Pokemon API Test	END	1720738194213
USER	Pokemon API Test	START	1720738194214
USER	Pokemon API Test	END	1720738194215
USER	Pokemon API Test	START	1720738194216
USER	Pokemon API Test	START	1720738194217
REQUEST		Get Pikachu	1720738194100	1720738194210	OK	 
USER	Pokemon API Test	END	1720738194218
USER	Pokemon API Test	START	1720738194218
USER	Pokemon API Test	START	1720738194219
USER	Pokemon API Test	START	1720738194225
REQUEST		Get Pikachu	1720738194023	1720738194215	OK	 
USER	Pokemon API Test	END	1720738194226
USER	Pokemon API Test	START	1720738194226
USER	Pokemon API Test	START	1720738194227
REQUEST		Get Pikachu	1720738194217	1720738194252	OK	 
USER	Pokemon API Test	END	1720738194254
USER	Pokemon API Test	START	1720738194255
REQUEST		Get Pikachu	1720738194155	1720738194246	OK	 
USER	Pokemon API Test	END	1720738194264
USER	Pokemon API Test	START	1720738194264
REQUEST		Get Pikachu	1720738194214	1720738194262	OK	 
REQUEST		Get Pikachu	1720738194218	1720738194264	OK	 
REQUEST		Get Pikachu	1720738194218	1720738194269	OK	 
USER	Pokemon API Test	END	1720738194279
USER	Pokemon API Test	START	1720738194280
USER	Pokemon API Test	END	1720738194290
USER	Pokemon API Test	START	1720738194292
USER	Pokemon API Test	END	1720738194305
REQUEST		Get Pikachu	1720738194227	1720738194304	OK	 
USER	Pokemon API Test	END	1720738194308
USER	Pokemon API Test	START	1720738194309
REQUEST		Get Pikachu	1720738194219	1720738194302	OK	 
REQUEST		Get Pikachu	1720738194228	1720738194297	OK	 
REQUEST		Get Pikachu	1720738194215	1720738194302	OK	 
USER	Pokemon API Test	END	1720738194333
USER	Pokemon API Test	START	1720738194334
REQUEST		Get Pikachu	1720738194256	1720738194324	OK	 
USER	Pokemon API Test	END	1720738194341
USER	Pokemon API Test	START	1720738194341
USER	Pokemon API Test	END	1720738194343
USER	Pokemon API Test	START	1720738194343
REQUEST		Get Pikachu	1720738194293	1720738194354	OK	 
USER	Pokemon API Test	END	1720738194357
USER	Pokemon API Test	END	1720738194357
USER	Pokemon API Test	START	1720738194359
REQUEST		Get Pikachu	1720738194265	1720738194354	OK	 
USER	Pokemon API Test	END	1720738194366
USER	Pokemon API Test	START	1720738194369
USER	Pokemon API Test	START	1720738194369
REQUEST		Get Pikachu	1720738194227	1720738194357	OK	 
USER	Pokemon API Test	END	1720738194385
USER	Pokemon API Test	START	1720738194386
USER	Pokemon API Test	START	1720738194387
REQUEST		Get Pikachu	1720738194339	1720738194410	OK	 
USER	Pokemon API Test	END	1720738194427
REQUEST		Get Pikachu	1720738194317	1720738194426	OK	 
USER	Pokemon API Test	END	1720738194436
USER	Pokemon API Test	START	1720738194437
USER	Pokemon API Test	START	1720738194437
REQUEST		Get Pikachu	1720738194359	1720738194438	OK	 
USER	Pokemon API Test	END	1720738194441
REQUEST		Get Pikachu	1720738194342	1720738194431	OK	 
USER	Pokemon API Test	END	1720738194452
REQUEST		Get Pikachu	1720738194343	1720738194443	OK	 
REQUEST		Get Pikachu	1720738194370	1720738194443	OK	 
REQUEST		Get Pikachu	1720738194370	1720738194442	OK	 
USER	Pokemon API Test	START	1720738194462
USER	Pokemon API Test	START	1720738194469
REQUEST		Get Pikachu	1720738194280	1720738194463	OK	 
USER	Pokemon API Test	END	1720738194473
USER	Pokemon API Test	END	1720738194475
USER	Pokemon API Test	END	1720738194476
USER	Pokemon API Test	START	1720738194476
USER	Pokemon API Test	START	1720738194477
USER	Pokemon API Test	END	1720738194478
USER	Pokemon API Test	START	1720738194485
USER	Pokemon API Test	START	1720738194488
REQUEST		Get Pikachu	1720738194386	1720738194493	OK	 
REQUEST		Get Pikachu	1720738194438	1720738194505	OK	 
USER	Pokemon API Test	END	1720738194506
USER	Pokemon API Test	START	1720738194506
USER	Pokemon API Test	END	1720738194507
USER	Pokemon API Test	START	1720738194507
REQUEST		Get Pikachu	1720738194388	1720738194496	OK	 
USER	Pokemon API Test	END	1720738194510
USER	Pokemon API Test	START	1720738194510
REQUEST		Get Pikachu	1720738194440	1720738194524	OK	 
REQUEST		Get Pikachu	1720738194485	1720738194553	OK	 
USER	Pokemon API Test	END	1720738194557
USER	Pokemon API Test	END	1720738194557
USER	Pokemon API Test	START	1720738194558
REQUEST		Get Pikachu	1720738194489	1720738194561	OK	 
REQUEST		Get Pikachu	1720738194475	1720738194585	OK	 
USER	Pokemon API Test	END	1720738194594
USER	Pokemon API Test	END	1720738194595
REQUEST		Get Pikachu	1720738194463	1720738194550	OK	 
USER	Pokemon API Test	END	1720738194596
USER	Pokemon API Test	START	1720738194596
REQUEST		Get Pikachu	1720738194511	1720738194596	OK	 
USER	Pokemon API Test	START	1720738194597
REQUEST		Get Pikachu	1720738194477	1720738194589	OK	 
USER	Pokemon API Test	START	1720738194600
USER	Pokemon API Test	END	1720738194601
REQUEST		Get Pikachu	1720738194489	1720738194596	OK	 
REQUEST		Get Pikachu	1720738194507	1720738194559	OK	 
USER	Pokemon API Test	END	1720738194605
USER	Pokemon API Test	END	1720738194605
REQUEST		Get Pikachu	1720738194507	1720738194598	OK	 
USER	Pokemon API Test	START	1720738194605
USER	Pokemon API Test	START	1720738194605
USER	Pokemon API Test	END	1720738194605
USER	Pokemon API Test	START	1720738194606
USER	Pokemon API Test	END	1720738194607
USER	Pokemon API Test	START	1720738194607
USER	Pokemon API Test	START	1720738194607
USER	Pokemon API Test	START	1720738194613
REQUEST		Get Pikachu	1720738194558	1720738194638	OK	 
REQUEST		Get Pikachu	1720738194605	1720738194649	OK	 
USER	Pokemon API Test	END	1720738194651
USER	Pokemon API Test	END	1720738194658
USER	Pokemon API Test	START	1720738194658
USER	Pokemon API Test	START	1720738194659
REQUEST		Get Pikachu	1720738194606	1720738194654	OK	 
REQUEST		Get Pikachu	1720738194596	1720738194660	OK	 
USER	Pokemon API Test	END	1720738194669
USER	Pokemon API Test	END	1720738194669
REQUEST		Get Pikachu	1720738194606	1720738194668	OK	 
USER	Pokemon API Test	END	1720738194675
REQUEST		Get Pikachu	1720738194600	1720738194675	OK	 
REQUEST		Get Pikachu	1720738194614	1720738194682	OK	 
USER	Pokemon API Test	START	1720738194683
USER	Pokemon API Test	START	1720738194684
USER	Pokemon API Test	END	1720738194685
USER	Pokemon API Test	START	1720738194685
USER	Pokemon API Test	END	1720738194687
REQUEST		Get Pikachu	1720738194605	1720738194685	OK	 
REQUEST		Get Pikachu	1720738194608	1720738194687	OK	 
USER	Pokemon API Test	END	1720738194707
USER	Pokemon API Test	START	1720738194707
REQUEST		Get Pikachu	1720738194608	1720738194706	OK	 
USER	Pokemon API Test	END	1720738194713
USER	Pokemon API Test	START	1720738194713
USER	Pokemon API Test	START	1720738194713
USER	Pokemon API Test	END	1720738194714
USER	Pokemon API Test	START	1720738194715
USER	Pokemon API Test	START	1720738194726
REQUEST		Get Pikachu	1720738194686	1720738194735	OK	 
USER	Pokemon API Test	END	1720738194737
USER	Pokemon API Test	START	1720738194737
REQUEST		Get Pikachu	1720738194687	1720738194751	OK	 
USER	Pokemon API Test	END	1720738194759
REQUEST		Get Pikachu	1720738194685	1720738194744	OK	 
USER	Pokemon API Test	END	1720738194760
USER	Pokemon API Test	START	1720738194760
USER	Pokemon API Test	START	1720738194761
REQUEST		Get Pikachu	1720738194708	1720738194765	OK	 
REQUEST		Get Pikachu	1720738194660	1720738194739	OK	 
USER	Pokemon API Test	END	1720738194777
USER	Pokemon API Test	START	1720738194778
USER	Pokemon API Test	END	1720738194779
USER	Pokemon API Test	START	1720738194779
REQUEST		Get Pikachu	1720738194684	1720738194770	OK	 
REQUEST		Get Pikachu	1720738194718	1720738194779	OK	 
USER	Pokemon API Test	END	1720738194786
USER	Pokemon API Test	END	1720738194787
REQUEST		Get Pikachu	1720738194714	1720738194781	OK	 
USER	Pokemon API Test	END	1720738194797
USER	Pokemon API Test	START	1720738194798
USER	Pokemon API Test	START	1720738194798
REQUEST		Get Pikachu	1720738194714	1720738194770	OK	 
USER	Pokemon API Test	END	1720738194801
USER	Pokemon API Test	START	1720738194802
REQUEST		Get Pikachu	1720738194726	1720738194804	OK	 
USER	Pokemon API Test	END	1720738194811
USER	Pokemon API Test	START	1720738194811
REQUEST		Get Pikachu	1720738194738	1720738194805	OK	 
REQUEST		Get Pikachu	1720738194762	1720738194824	OK	 
USER	Pokemon API Test	END	1720738194833
USER	Pokemon API Test	START	1720738194833
REQUEST		Get Pikachu	1720738194762	1720738194825	OK	 
USER	Pokemon API Test	END	1720738194835
REQUEST		Get Pikachu	1720738194779	1720738194831	OK	 
USER	Pokemon API Test	END	1720738194835
USER	Pokemon API Test	START	1720738194836
USER	Pokemon API Test	END	1720738194836
USER	Pokemon API Test	START	1720738194836
USER	Pokemon API Test	START	1720738194836
REQUEST		Get Pikachu	1720738194778	1720738194832	OK	 
USER	Pokemon API Test	END	1720738194838
USER	Pokemon API Test	START	1720738194838
USER	Pokemon API Test	START	1720738194839
REQUEST		Get Pikachu	1720738194799	1720738194859	OK	 
REQUEST		Get Pikachu	1720738194798	1720738194860	OK	 
USER	Pokemon API Test	END	1720738194868
USER	Pokemon API Test	START	1720738194869
USER	Pokemon API Test	END	1720738194869
USER	Pokemon API Test	START	1720738194869
REQUEST		Get Pikachu	1720738194839	1720738194872	OK	 
USER	Pokemon API Test	END	1720738194877
REQUEST		Get Pikachu	1720738194804	1720738194872	OK	 
USER	Pokemon API Test	END	1720738194878
USER	Pokemon API Test	START	1720738194878
REQUEST		Get Pikachu	1720738194834	1720738194883	OK	 
USER	Pokemon API Test	END	1720738194885
USER	Pokemon API Test	START	1720738194885
REQUEST		Get Pikachu	1720738194840	1720738194898	OK	 
USER	Pokemon API Test	END	1720738194903
USER	Pokemon API Test	START	1720738194904
REQUEST		Get Pikachu	1720738194812	1720738194875	OK	 
USER	Pokemon API Test	END	1720738194905
USER	Pokemon API Test	START	1720738194906
REQUEST		Get Pikachu	1720738194839	1720738194901	OK	 
USER	Pokemon API Test	END	1720738194914
USER	Pokemon API Test	START	1720738194915
REQUEST		Get Pikachu	1720738194837	1720738194910	OK	 
USER	Pokemon API Test	END	1720738194917
USER	Pokemon API Test	START	1720738194917
REQUEST		Get Pikachu	1720738194836	1720738194894	OK	 
USER	Pokemon API Test	END	1720738194927
USER	Pokemon API Test	START	1720738194927
USER	Pokemon API Test	START	1720738194928
REQUEST		Get Pikachu	1720738194904	1720738194942	OK	 
REQUEST		Get Pikachu	1720738194869	1720738194929	OK	 
USER	Pokemon API Test	END	1720738194943
USER	Pokemon API Test	START	1720738194944
USER	Pokemon API Test	END	1720738194945
REQUEST		Get Pikachu	1720738194879	1720738194931	OK	 
USER	Pokemon API Test	END	1720738194949
USER	Pokemon API Test	START	1720738194949
REQUEST		Get Pikachu	1720738194886	1720738194948	OK	 
REQUEST		Get Pikachu	1720738194877	1720738194944	OK	 
USER	Pokemon API Test	END	1720738194955
USER	Pokemon API Test	END	1720738194956
USER	Pokemon API Test	START	1720738194956
USER	Pokemon API Test	START	1720738194956
USER	Pokemon API Test	START	1720738194957
REQUEST		Get Pikachu	1720738194909	1720738195010	OK	 
USER	Pokemon API Test	END	1720738195015
USER	Pokemon API Test	START	1720738195016
REQUEST		Get Pikachu	1720738194929	1720738195018	OK	 
USER	Pokemon API Test	END	1720738195020
REQUEST		Get Pikachu	1720738194918	1720738195018	OK	 
REQUEST		Get Pikachu	1720738194917	1720738195021	OK	 
REQUEST		Get Pikachu	1720738194944	1720738195055	OK	 
USER	Pokemon API Test	END	1720738195061
REQUEST		Get Pikachu	1720738194928	1720738195049	OK	 
USER	Pokemon API Test	END	1720738195061
USER	Pokemon API Test	END	1720738195061
USER	Pokemon API Test	END	1720738195062
USER	Pokemon API Test	START	1720738195063
USER	Pokemon API Test	START	1720738195063
REQUEST		Get Pikachu	1720738194958	1720738195064	OK	 
USER	Pokemon API Test	END	1720738195065
REQUEST		Get Pikachu	1720738194957	1720738195058	OK	 
USER	Pokemon API Test	START	1720738195066
USER	Pokemon API Test	END	1720738195067
USER	Pokemon API Test	START	1720738195067
USER	Pokemon API Test	START	1720738195067
REQUEST		Get Pikachu	1720738194950	1720738195064	OK	 
USER	Pokemon API Test	END	1720738195068
USER	Pokemon API Test	START	1720738195068
USER	Pokemon API Test	START	1720738195068
USER	Pokemon API Test	START	1720738195071
REQUEST		Get Pikachu	1720738194956	1720738195082	OK	 
USER	Pokemon API Test	END	1720738195088
USER	Pokemon API Test	START	1720738195088
REQUEST		Get Pikachu	1720738195067	1720738195100	OK	 
USER	Pokemon API Test	END	1720738195102
USER	Pokemon API Test	START	1720738195102
REQUEST		Get Pikachu	1720738195068	1720738195117	OK	 
REQUEST		Get Pikachu	1720738195016	1720738195115	OK	 
REQUEST		Get Pikachu	1720738195063	1720738195116	OK	 
USER	Pokemon API Test	END	1720738195122
USER	Pokemon API Test	END	1720738195123
USER	Pokemon API Test	START	1720738195123
REQUEST		Get Pikachu	1720738195069	1720738195122	OK	 
USER	Pokemon API Test	END	1720738195126
USER	Pokemon API Test	START	1720738195127
USER	Pokemon API Test	END	1720738195127
USER	Pokemon API Test	START	1720738195127
USER	Pokemon API Test	START	1720738195128
REQUEST		Get Pikachu	1720738195064	1720738195133	OK	 
REQUEST		Get Pikachu	1720738195089	1720738195128	OK	 
REQUEST		Get Pikachu	1720738195072	1720738195130	OK	 
USER	Pokemon API Test	END	1720738195148
USER	Pokemon API Test	END	1720738195148
USER	Pokemon API Test	END	1720738195149
USER	Pokemon API Test	START	1720738195149
REQUEST		Get Pikachu	1720738195069	1720738195147	OK	 
USER	Pokemon API Test	START	1720738195154
REQUEST		Get Pikachu	1720738195072	1720738195143	OK	 
USER	Pokemon API Test	END	1720738195156
USER	Pokemon API Test	START	1720738195163
USER	Pokemon API Test	END	1720738195165
REQUEST		Get Pikachu	1720738195128	1720738195164	OK	 
USER	Pokemon API Test	START	1720738195167
USER	Pokemon API Test	END	1720738195167
USER	Pokemon API Test	START	1720738195174
USER	Pokemon API Test	START	1720738195175
REQUEST		Get Pikachu	1720738195127	1720738195185	OK	 
USER	Pokemon API Test	END	1720738195190
USER	Pokemon API Test	START	1720738195193
REQUEST		Get Pikachu	1720738195103	1720738195167	OK	 
USER	Pokemon API Test	END	1720738195194
REQUEST		Get Pikachu	1720738195127	1720738195191	OK	 
USER	Pokemon API Test	END	1720738195202
USER	Pokemon API Test	START	1720738195202
REQUEST		Get Pikachu	1720738195124	1720738195204	OK	 
REQUEST		Get Pikachu	1720738195155	1720738195209	OK	 
USER	Pokemon API Test	END	1720738195214
USER	Pokemon API Test	START	1720738195215
REQUEST		Get Pikachu	1720738195150	1720738195211	OK	 
USER	Pokemon API Test	END	1720738195215
USER	Pokemon API Test	START	1720738195216
USER	Pokemon API Test	START	1720738195217
REQUEST		Get Pikachu	1720738195168	1720738195219	OK	 
USER	Pokemon API Test	END	1720738195239
REQUEST		Get Pikachu	1720738195177	1720738195234	OK	 
REQUEST		Get Pikachu	1720738195174	1720738195239	OK	 
USER	Pokemon API Test	END	1720738195241
USER	Pokemon API Test	START	1720738195239
USER	Pokemon API Test	END	1720738195241
USER	Pokemon API Test	END	1720738195242
USER	Pokemon API Test	START	1720738195242
USER	Pokemon API Test	START	1720738195242
REQUEST		Get Pikachu	1720738195194	1720738195242	OK	 
USER	Pokemon API Test	END	1720738195247
USER	Pokemon API Test	START	1720738195247
USER	Pokemon API Test	START	1720738195262
REQUEST		Get Pikachu	1720738195222	1720738195265	OK	 
USER	Pokemon API Test	END	1720738195266
REQUEST		Get Pikachu	1720738195166	1720738195264	OK	 
USER	Pokemon API Test	END	1720738195269
USER	Pokemon API Test	START	1720738195271
USER	Pokemon API Test	START	1720738195271
REQUEST		Get Pikachu	1720738195203	1720738195282	OK	 
USER	Pokemon API Test	END	1720738195288
USER	Pokemon API Test	START	1720738195288
REQUEST		Get Pikachu	1720738195215	1720738195290	OK	 
USER	Pokemon API Test	END	1720738195294
USER	Pokemon API Test	START	1720738195295
REQUEST		Get Pikachu	1720738195248	1720738195297	OK	 
USER	Pokemon API Test	END	1720738195299
USER	Pokemon API Test	START	1720738195299
REQUEST		Get Pikachu	1720738195244	1720738195312	OK	 
REQUEST		Get Pikachu	1720738195240	1720738195312	OK	 
USER	Pokemon API Test	END	1720738195318
REQUEST		Get Pikachu	1720738195243	1720738195317	OK	 
USER	Pokemon API Test	END	1720738195325
USER	Pokemon API Test	START	1720738195325
REQUEST		Get Pikachu	1720738195272	1720738195327	OK	 
REQUEST		Get Pikachu	1720738195241	1720738195332	OK	 
REQUEST		Get Pikachu	1720738195271	1720738195351	OK	 
USER	Pokemon API Test	START	1720738195357
USER	Pokemon API Test	END	1720738195360
USER	Pokemon API Test	END	1720738195360
USER	Pokemon API Test	START	1720738195360
USER	Pokemon API Test	END	1720738195364
USER	Pokemon API Test	START	1720738195367
USER	Pokemon API Test	END	1720738195368
USER	Pokemon API Test	START	1720738195368
USER	Pokemon API Test	START	1720738195368
REQUEST		Get Pikachu	1720738195295	1720738195362	OK	 
REQUEST		Get Pikachu	1720738195263	1720738195374	OK	 
USER	Pokemon API Test	END	1720738195381
USER	Pokemon API Test	END	1720738195381
USER	Pokemon API Test	START	1720738195382
USER	Pokemon API Test	START	1720738195382
REQUEST		Get Pikachu	1720738195288	1720738195383	OK	 
USER	Pokemon API Test	END	1720738195388
USER	Pokemon API Test	START	1720738195388
REQUEST		Get Pikachu	1720738195299	1720738195385	OK	 
REQUEST		Get Pikachu	1720738195327	1720738195391	OK	 
USER	Pokemon API Test	END	1720738195397
USER	Pokemon API Test	END	1720738195398
USER	Pokemon API Test	START	1720738195399
USER	Pokemon API Test	START	1720738195399
REQUEST		Get Pikachu	1720738195383	1720738195423	OK	 
USER	Pokemon API Test	END	1720738195425
USER	Pokemon API Test	START	1720738195428
REQUEST		Get Pikachu	1720738195358	1720738195418	OK	 
USER	Pokemon API Test	END	1720738195432
USER	Pokemon API Test	START	1720738195432
REQUEST		Get Pikachu	1720738195388	1720738195434	OK	 
REQUEST		Get Pikachu	1720738195382	1720738195430	OK	 
USER	Pokemon API Test	END	1720738195450
REQUEST		Get Pikachu	1720738195361	1720738195445	OK	 
USER	Pokemon API Test	END	1720738195452
USER	Pokemon API Test	START	1720738195452
USER	Pokemon API Test	END	1720738195453
USER	Pokemon API Test	START	1720738195453
REQUEST		Get Pikachu	1720738195378	1720738195440	OK	 
USER	Pokemon API Test	END	1720738195455
USER	Pokemon API Test	START	1720738195456
REQUEST		Get Pikachu	1720738195373	1720738195447	OK	 
USER	Pokemon API Test	END	1720738195462
REQUEST		Get Pikachu	1720738195384	1720738195459	OK	 
USER	Pokemon API Test	END	1720738195464
REQUEST		Get Pikachu	1720738195399	1720738195457	OK	 
USER	Pokemon API Test	END	1720738195466
USER	Pokemon API Test	START	1720738195466
USER	Pokemon API Test	START	1720738195466
USER	Pokemon API Test	START	1720738195467
USER	Pokemon API Test	START	1720738195468
REQUEST		Get Pikachu	1720738195399	1720738195477	OK	 
USER	Pokemon API Test	END	1720738195491
USER	Pokemon API Test	START	1720738195491
REQUEST		Get Pikachu	1720738195468	1720738195504	OK	 
USER	Pokemon API Test	END	1720738195507
USER	Pokemon API Test	START	1720738195507
REQUEST		Get Pikachu	1720738195433	1720738195504	OK	 
USER	Pokemon API Test	END	1720738195510
USER	Pokemon API Test	START	1720738195511
REQUEST		Get Pikachu	1720738195452	1720738195518	OK	 
USER	Pokemon API Test	END	1720738195520
REQUEST		Get Pikachu	1720738195454	1720738195520	OK	 
USER	Pokemon API Test	END	1720738195524
USER	Pokemon API Test	START	1720738195525
USER	Pokemon API Test	START	1720738195526
REQUEST		Get Pikachu	1720738195466	1720738195512	OK	 
USER	Pokemon API Test	END	1720738195527
USER	Pokemon API Test	START	1720738195527
REQUEST		Get Pikachu	1720738195456	1720738195532	OK	 
USER	Pokemon API Test	END	1720738195540
USER	Pokemon API Test	START	1720738195541
REQUEST		Get Pikachu	1720738195469	1720738195541	OK	 
USER	Pokemon API Test	END	1720738195545
REQUEST		Get Pikachu	1720738195428	1720738195543	OK	 
USER	Pokemon API Test	END	1720738195548
USER	Pokemon API Test	START	1720738195549
USER	Pokemon API Test	START	1720738195548
REQUEST		Get Pikachu	1720738195508	1720738195563	OK	 
USER	Pokemon API Test	END	1720738195568
USER	Pokemon API Test	START	1720738195568
REQUEST		Get Pikachu	1720738195493	1720738195563	OK	 
USER	Pokemon API Test	END	1720738195570
REQUEST		Get Pikachu	1720738195526	1720738195569	OK	 
USER	Pokemon API Test	END	1720738195574
USER	Pokemon API Test	START	1720738195574
REQUEST		Get Pikachu	1720738195511	1720738195569	OK	 
USER	Pokemon API Test	END	1720738195574
USER	Pokemon API Test	START	1720738195574
USER	Pokemon API Test	START	1720738195575
REQUEST		Get Pikachu	1720738195527	1720738195579	OK	 
USER	Pokemon API Test	END	1720738195585
USER	Pokemon API Test	START	1720738195586
REQUEST		Get Pikachu	1720738195550	1720738195595	OK	 
REQUEST		Get Pikachu	1720738195525	1720738195596	OK	 
USER	Pokemon API Test	END	1720738195604
USER	Pokemon API Test	END	1720738195604
USER	Pokemon API Test	START	1720738195604
REQUEST		Get Pikachu	1720738195546	1720738195599	OK	 
USER	Pokemon API Test	END	1720738195605
USER	Pokemon API Test	START	1720738195606
USER	Pokemon API Test	START	1720738195606
REQUEST		Get Pikachu	1720738195551	1720738195612	OK	 
USER	Pokemon API Test	END	1720738195617
USER	Pokemon API Test	START	1720738195617
REQUEST		Get Pikachu	1720738195586	1720738195623	OK	 
USER	Pokemon API Test	END	1720738195625
REQUEST		Get Pikachu	1720738195575	1720738195622	OK	 
USER	Pokemon API Test	START	1720738195628
USER	Pokemon API Test	END	1720738195628
REQUEST		Get Pikachu	1720738195576	1720738195626	OK	 
USER	Pokemon API Test	END	1720738195630
USER	Pokemon API Test	START	1720738195632
REQUEST		Get Pikachu	1720738195575	1720738195628	OK	 
USER	Pokemon API Test	END	1720738195633
USER	Pokemon API Test	START	1720738195633
USER	Pokemon API Test	START	1720738195633
REQUEST		Get Pikachu	1720738195576	1720738195635	OK	 
USER	Pokemon API Test	END	1720738195640
USER	Pokemon API Test	START	1720738195641
REQUEST		Get Pikachu	1720738195628	1720738195668	OK	 
USER	Pokemon API Test	END	1720738195671
USER	Pokemon API Test	START	1720738195673
REQUEST		Get Pikachu	1720738195606	1720738195666	OK	 
USER	Pokemon API Test	END	1720738195678
USER	Pokemon API Test	START	1720738195678
